intensity,avg_mae,std_mae,avg_rmse,std_rmse,avg_num_points,epochs
0.1,563.3099402836959,11.177821460408909,641.2345421468428,13.153745260530613,442,801
0.5,495.8296663115263,1.8073262383454551,562.4980456961628,1.473570266828882,2179,801
